Features,Strength
"(8, 9, 12, 13, 15, 16)",184.1154052734375
"(2, 4, 6, 9, 12)",183.92725830078126
"(7, 9, 11, 12, 13, 14, 15)",183.82105712890626
"(1, 5, 8, 9, 10, 11, 15, 16)",183.58519287109374
"(5, 7, 9, 15)",183.36146240234376
"(2, 6, 8, 10, 11, 12, 13, 15, 16)",183.13250732421875
"(1, 3, 5, 8, 9, 12)",183.13243408203124
"(2, 4, 6, 9, 11, 12)",182.504150390625
"(2, 10, 11)",181.27119140625
"(2, 4, 8, 9, 11, 15)",180.22154541015624
"(2, 4, 8, 10)",180.079052734375
"(7, 8, 9, 11, 12, 13, 14, 15)",179.57916259765625
"(6, 7, 9, 10, 11)",179.55743408203125
"(6, 7, 8, 9, 10, 11, 15)",178.769580078125
"(1, 2, 3, 5)",178.72503662109375
"(4, 7, 12, 14, 15)",178.607470703125
"(2, 7, 11, 13)",178.54266357421875
"(4, 6, 7, 12, 14, 15)",178.173583984375
"(4, 6, 7, 10, 12, 14, 15)",178.149365234375
"(4, 6, 7, 9, 10, 11)",177.5438720703125
"(7, 8, 9, 12, 13, 15, 16)",177.33795166015625
"(4, 6, 7, 10, 11, 12, 14, 15)",175.4659423828125
"(3, 7, 8, 9, 11, 12, 13, 14, 15)",174.98541259765625
"(8, 9, 16)",174.92470092773436
"(6, 8, 11, 12, 13, 15, 16)",174.3872802734375
"(7, 11, 13, 16)",174.1787109375
"(2, 3, 4, 6, 10, 15)",174.1251220703125
"(1, 2, 4, 6, 9, 10, 11)",173.2990234375
"(1, 2, 5, 8, 9, 10, 11, 15, 16)",172.82633056640626
"(6, 10, 11, 12)",172.73394775390625
"(1, 2, 3, 5, 13)",172.2169921875
"(2, 4, 6, 8, 10, 11, 12, 13, 15, 16)",171.72752685546874
"(1, 6, 8, 10, 11, 13, 15)",171.68488159179688
"(7, 8, 13)",171.4589080810547
"(6, 7, 14, 16)",170.50633544921874
"(5, 6, 8, 9)",169.89886474609375
"(1, 3, 5, 8, 9, 12, 15)",169.49576416015626
"(5, 6, 7, 8, 9)",169.11973876953124
"(8, 9, 11, 12)",168.45281982421875
"(2, 4, 6)",168.12579345703125
"(1, 2, 4, 8, 11, 14, 16)",168.04293212890624
"(3, 8, 10, 15)",167.7307861328125
"(3, 5, 6, 10, 11, 14, 15)",167.5661865234375
"(4, 6, 7, 9, 10, 11, 12, 14, 15)",166.95072021484376
"(2, 3, 4, 5, 6, 10, 15)",166.17628173828126
"(4, 9, 11, 13)",165.91099853515624
"(4, 9, 11, 13, 16)",165.72711181640625
"(1, 5, 14)",165.553564453125
"(1, 8, 9, 12)",165.54573974609374
"(1, 6, 8, 9)",164.86343994140626
"(5, 8, 9, 12, 13, 14, 15)",164.41337890625
"(8, 9, 11, 12, 16)",163.6970703125
"(1, 5, 14, 15)",163.53653564453603
"(6, 11, 14, 16)",163.2681884765625
"(4, 6, 10, 11)",163.0600341796875
"(6, 12, 15, 16)",162.98447875976564
"(8, 9, 10, 11, 15)",162.89161987304686
"(2, 4, 6, 7)",162.8138916015625
"(5, 7, 8, 13)",162.7635925292969
"(9, 10, 12, 13)",162.41435546875
"(6, 10, 11, 14, 16)",162.28861083984376
"(3, 8, 10, 13, 15)",161.44774169921874
"(6, 7, 11, 13, 16)",161.37037353515626
"(5, 11, 13, 15)",161.1405517578125
"(6, 8, 10, 14)",159.6352325439453
"(2, 4, 8, 9, 10, 11, 15)",159.4101806640625
"(2, 4, 5, 9, 11, 12, 13, 14, 16)",158.75753173828124
"(9, 10, 11, 12)",158.62650146484376
"(3, 9, 12)",158.4287841796875
"(7, 8, 9, 16)",157.7860534667969
"(7, 9, 16)",157.65081787109375
"(4, 5, 8, 9, 12, 13, 15)",157.41246337890624
"(8, 9, 15, 16)",157.2071533203125
"(4, 5, 8, 9, 11, 12, 13, 15)",156.617919921875
"(4, 5, 9, 11, 13, 16)",156.4038818359375
"(1, 8, 15)",155.75208740234376
"(6, 8, 9, 11)",155.68162841796874
"(4, 5, 6, 8, 9, 11, 12, 13, 15)",155.63353271484374
"(6, 7, 8)",155.568994140625
"(7, 8, 9, 14, 15)",155.4044921875
"(6, 9, 10, 11, 14, 16)",155.38299560546875
"(3, 7, 8, 9, 14, 15)",155.3622314453125
"(8, 9, 13, 15)",154.8419677734375
"(5, 8, 14, 16)",154.74954833984376
"(7, 9, 13)",154.54967041015624
"(3, 9, 12, 15)",154.52406005859376
"(5, 7, 11, 13, 15)",154.11405029296876
"(1, 2, 4, 6, 9, 10, 11, 16)",153.6792724609375
"(6, 8, 10, 16)",153.31330413818358
"(7, 10, 11, 12)",152.9206787109375
"(1, 5, 6, 14, 15)",152.68428955078124
"(1, 4, 5, 6, 7, 8, 15)",151.9526611328125
"(6, 7, 10, 13)",151.950927734375
"(1, 2, 5, 10)",151.87177734375
"(9, 10, 11, 15)",151.77650146484376
"(8, 9, 10, 11, 13)",151.29832763671874
"(7, 8, 9, 10, 14)",151.20143432617186
"(1, 4, 9, 10, 13)",151.1990478515625
"(2, 6, 8, 9)",150.7775146484375
"(1, 5, 10, 11)",150.51614990234376
"(2, 3, 4, 5, 6, 10, 15, 16)",150.03861083984376
"(2, 4, 14)",150.01386108398438
"(3, 4, 5, 7, 9, 12, 15)",150.00718994140624
"(4, 5, 6, 9, 13)",149.957177734375
"(1, 2, 12)",149.70592041015624
"(6, 7, 10, 11, 12, 15)",149.66380615234374
"(4, 8, 9, 11, 12, 16)",149.5607666015625
"(2, 3, 7, 8, 9, 10, 12, 13, 15, 16)",149.53209228515624
"(1, 2, 3, 5, 12, 13)",149.36243896484376
"(7, 10, 11, 15)",148.42782592773438
"(1, 6, 8, 9, 12)",148.37681884765624
"(4, 6, 7, 8, 9, 10, 14)",148.281103515625
"(1, 2, 4, 5, 10)",148.061572265625
"(1, 5, 8, 10, 11)",147.9085205078125
"(1, 8, 9, 13)",147.76807861328126
"(1, 5, 10, 11, 15)",147.4969970703125
"(6, 8, 9, 15, 16)",147.00372314453125
"(7, 11, 13, 15, 16)",146.8109619140625
"(7, 9, 11, 16)",146.36224365234375
"(2, 4, 5, 6, 9, 11, 12, 13, 14, 16)",146.23897705078124
"(7, 10, 11, 13, 14)",146.2137939453125
"(5, 9, 10, 11)",145.69700927734374
"(4, 7, 9, 11, 16)",145.60528564453125
"(1, 7, 10, 15)",145.1078125
"(7, 8, 9, 10, 11)",144.9594482421875
"(1, 5, 7, 10, 15)",144.7898193359375
"(2, 7, 11, 14)",144.1822021484375
"(4, 13)",144.02088012695313
"(4, 5, 8, 9, 11, 12, 16)",143.73404541015626
"(5, 7, 9, 10, 11)",142.66192626953125
